상권_코드,월_평균_소득_금액,지출_총금액,당월_매출_금액,당월_매출_건수,500m내_버스정류장수,500m내_평균버스승하차,500m내_지하철역수,500m내_평균지하철승하차,상권_코드_명,클러스터
3110057.0,3108300.0,995897832.0,1209766912.0,21040.0,98.0,23879.06601505668,1.0,22158.706896551725,황학코아루아파트,0
3110098.0,3218904.0,237450148.0,1456489483.0,7025.0,53.02097902097902,11032.68365778925,0.0,0.0,서울독일학교,2
3110099.0,5729183.0,1353322823.0,260575610.0,1152.0,68.66666666666667,14474.60837679573,2.0,16643.655172413793,유엔빌리지길,5
3110100.0,3723007.0,196356024.0,597025289.3731773,13879.824043715846,45.86666666666667,7549.127298042886,0.13333333333333333,519.6367816091954,옥수동우편취급국,2
3110101.0,3704479.0,416897845.0,11965842.0,917.0,70.83617747440273,12163.047398606215,0.9618885096700797,7687.552292966145,옥정중학교,1
3110102.0,2847836.0,252903110.0,177630463.0,33032.0,91.3656108597285,16110.95847297156,1.5357466063348417,17437.17859260415,옥수역 6번,1
3110103.0,2213151.0,194443882.0,2000000.0,10.0,86.88115183246073,15000.92408948603,1.081151832460733,14838.960732984291,옥수터널,1
3110104.0,2666215.0,1928005256.0,427215728.0,10302.0,52.38299232736573,11210.606513344645,1.0,11880.965517241382,신금호역 4번,6
3110105.0,2365874.0,1619463514.0,383864970.0,10603.0,116.0,19541.170880415528,1.0,11880.96551724138,금동어린이공원,0
3110106.0,2365668.0,448847476.0,28968625.0,2140.0,57.184,11134.793466995005,0.192,4254.471724137931,금북초등학교,2
3110107.0,2369658.0,216936515.0,1230671463.0,17472.0,109.069403714565,18900.42382112072,0.4002932551319648,5537.025348029797,금호사거리,1
3110108.0,649133.0,0.0,486257456.0,8537.0,88.98672566371681,16071.324889273668,1.0,13074.638655782728,성동구립금호도서관,1
3110109.0,2494346.0,209484211.0,10544899.0,405.0,116.6,20263.109485571884,0.8769230769230769,10418.692838196286,금호삼성래미안아파트,1
3110110.0,2722217.0,1025524033.0,515292010.0,19568.0,143.06112664802237,28295.662417520838,1.51618058330004,36389.02089636464,상왕십리역 6번,0
3110111.0,2121704.0,756269616.0,361253066.96703297,8185.549450549451,87.56463414634146,15749.585094009331,1.0,14017.758620689654,대현산장미원,1
3110112.0,2622180.0,1692234915.0,6000000.0,33.0,102.71067170689153,20596.858574092617,1.6112241930793836,31797.86260039507,행당역 2번,0
3110113.0,2938811.0,789172732.0,99925367.0,365.0,83.97831325301205,14065.091388372899,0.4036144578313253,1303.0623182384713,응봉산,1
3110114.0,3041500.0,319484780.0,948240954.0,15156.0,48.94117647058823,11078.15217738013,0.0,0.0,왕십리파출소,2
3110115.0,2609932.0,909916791.0,819974019.0,11556.0,106.64402810304449,19298.035310208328,1.0,25623.96551724138,상왕십리역 3번,0
3110117.0,2205692.0,524998968.0,394179308.0,2329.0,65.82600732600733,16349.027457106326,0.17582417582417584,0.0,성동구보건소,1
3110118.0,4163150.0,515886079.0,682382650.0,19329.0,138.1548714693748,30801.62814431913,2.168835290384005,8503.563838518698,왕십리역 9번,4
3110119.0,2189933.0,141386425.0,587363510.6157635,19694.58620689655,58.100607962345556,13630.906240224582,0.5020592272994705,559.0392707156913,마장지하차도,1
3110120.0,3108465.0,565691515.0,53474641.0,544.0,32.01241018941868,4566.138593110637,0.3638145003265839,1174.5688416405776,서울숲카페거리,2
3110121.0,2656203.0,451382057.0,195652717.0,5357.0,150.59028593811203,33608.519515177104,2.72659616137877,812.661540851196,한양대역 4번,4
3110122.0,2648703.0,569859649.0,178344578.0,16258.0,66.69494290375204,15021.199112773094,1.0,7197.4730269449265,마장역 2번,1
3110123.0,2497084.0,1068633264.0,58498562.0,115.0,62.61044613710555,12912.089551182415,1.2415669205658324,11223.823871524519,마장역 3번,1
3110124.0,2380327.0,426644891.0,497819272.0,27948.0,38.641129032258064,4860.777778785769,0.7782258064516129,10800.029894327032,뚝섬역교차로,2
3110125.0,2481227.0,2207499924.0,880675840.0,53923.0,44.79904306220096,8770.119322039627,0.5167464114832536,2998.443425177363,사근동살곶이상점가,6
3110126.0,2683911.0,397341358.0,119802813.0,4179.0,62.40870062965083,9209.894662047218,1.4802518603319976,52466.28965993526,서울숲역 1번,5
3110127.0,3016480.0,153848864.0,246140346.0,5119.0,86.23410696266397,12143.422536267539,1.8940464177598386,62794.43839382024,성수1가1동주민센터,5
3110128.0,2435523.0,4070992102.0,175614240.0,5426.0,59.42857142857143,7523.177449219104,0.47558309037900875,10848.329081632653,성원중학교,6
3110130.0,2237845.0,821791392.0,283655117.0,3466.0,34.0,9344.995267,2.0,30745.827586206888,답십리역 6번,5
3110131.0,2619989.0,1602323628.0,3532343.0,126.0,67.73070866141732,7397.339632562771,1.4732283464566929,97030.03909880361,성수동카페거리,7
3110132.0,2818946.0,952107247.0,275869391.0,12508.0,8.0,1062.418976599584,1.0,5077.862068965517,성수2가3동주민센터,2
3110133.0,2556713.0,522124617.0,674988430.0,16099.0,36.439597315436245,16354.08843054873,1.4429530201342282,20440.584471187227,서울교통공사,5
3110134.0,2610406.0,2936426722.0,301129253.0,3152.0,75.66592285623207,7817.009519438063,0.04207841887153331,3413.9672210436065,성수119안전센터,6
3110135.0,2567089.0,453428765.0,917174558.0,33286.0,0.0,0.0,0.0,0.0,성동세무서,2
3110136.0,2669023.0,1330547106.0,85234698.0,7533.0,46.844459738472125,6427.074981868905,1.0,81133.44827586207,경수초등학교,7
3110137.0,3333473.0,1510657423.0,3949168130.0,160274.0,33.40275049115913,8892.485996248377,0.4793713163064833,38893.04789648398,성수초등학교,8
3110138.0,2292404.0,1285313918.0,90457145.0,3911.0,34.43809523809524,10095.18849564159,0.0,0.0,송정체육공원,2
3110139.0,2460503.0,1598822707.0,72174833.0,8738.0,114.57831325301204,15601.359944138532,0.0,0.0,자양4동주민센터,0
3110141.0,2282949.0,956074750.0,949751841.0,22369.0,51.3027397260274,12471.982271753453,0.03287671232876712,2667.4010392064242,건대입구역 1번,2
3110142.0,2456645.0,2113204735.0,1883248410.0,48972.0,45.99545454545454,14162.69913742573,0.0,0.0,화양사거리,6
3110147.0,2463450.0,3195168079.0,125756683.0,2378.0,54.94805194805195,28484.251954329236,0.6233766233766234,21293.64263322884,능동우편취급국,6
3120048.0,2248137.0,795454623.0,2146215392.0,54370.0,86.66098081023455,16537.957922571844,1.1124733475479744,15595.654106315711,금호역,1
3120049.0,2704852.0,584926831.0,5647139182.0,132982.0,131.1062271062271,34044.55779154027,3.6043956043956045,21336.219969685488,왕십리역(왕십리),4
3120050.0,2954167.0,599737987.0,977266567.0,21070.0,66.01236174365647,10523.362042387771,1.7351984385165908,55690.384290938455,서울숲역,5
3120051.0,3051848.0,1083444808.0,61213134.0,2515.0,72.72161642078255,9590.317178578502,1.0615779345734446,46126.97361488156,뚝섬역,5
3120052.0,2497599.0,1171025573.0,1648324822.0,12454.0,55.15661375661376,7691.948282143924,1.2126984126984126,89721.09359605912,성수역,7
3120066.0,2591303.0,2024500674.0,13501952500.0,368501.0,69.37947882736157,36211.284362835395,0.9381107491856677,32044.504549028414,장한평역(장한평),3
3130055.0,2591320.0,616630999.0,5662469.0,191.0,76.0,16819.170881099868,0.0,0.0,"황학시장(서울중앙시장, 신중앙시장)",1
3130063.0,2462539.0,177964764.0,164081798.0,15365.0,71.27848101265823,16342.478029242817,2.392405063291139,32727.261897010038,신금호역 골목형상점가,5
3130064.0,2749939.0,151181436.0,16171490.0,119.0,85.30558482613277,16016.705034364655,1.0084299262381453,13921.35481995567,금남시장,1
3130065.0,2290912.0,1265926447.0,20000000.0,90.0,132.72186588921284,22711.3161141113,1.0099125364431487,25843.6145068489,무학봉상점가,0
3130066.0,2479353.0,658872395.0,26449987.0,861.0,113.22748683845941,24601.718197116912,1.4197838736492103,25623.96551724138,행당시장상점가,0
3130067.0,2865334.0,1045393284.0,405032554.0,40129.0,115.84721352536005,25305.15736443151,0.873512836568566,22382.862803100645,왕십리도선동상점가,0
3130068.0,2486739.0,1231475259.0,3570598996.0,44651.0,61.0,15971.574539523428,1.0,0.0,마장축산물시장,1
3130069.0,2484336.0,17708732.0,145000900.0,8486.0,135.13916710595677,31753.75817991178,3.050606220347918,3436.224092487229,"한양대앞상점가(한양시장, 왕십리맛골목)",4
3130070.0,2801312.0,455795908.0,254027480.0,12973.0,65.72463768115942,8181.295602016797,1.0,42040.20689875563,뚝섬역상점가,5
3130071.0,2078971.0,41041904.0,93000000.0,6024.0,71.06801007556675,8890.621105735358,0.9580184718723762,45779.73247825444,성수역 골목형상점가,5
3130072.0,2367606.0,1921353897.0,2970369838.0,307219.0,33.91895512391159,17376.722827473466,1.950770261219022,32327.93156569739,성동용답상가시장,8
3130073.0,1995938.0,72653396.0,2565252676.0,55979.0,80.55636363636364,7913.099820124565,0.2924064171122995,23424.529433892683,뚝도시장,1
3130074.0,2501162.0,231301232.0,179685658.0,7351.0,86.89760348583879,12296.558200622936,0.33986928104575165,27574.766734279918,영동교골목시장,1
