클러스터,월_평균_소득_금액,지출_총금액,당월_매출_금액,500m내_버스정류장수,500m내_평균버스승하차,500m내_지하철역수
0,2613845.0,1201339102.0,384283920.5555556,115.8656339960003,22203.37164634358,1.0478460025600387
1,2414098.0555555555,457760175.6666667,671234510.9212664,81.3852530017782,15099.597411055891,0.7740137241103151
2,2779925.9,584139951.4,581527119.9373177,36.94071963440333,7385.126271609831,0.25002503524402975
3,2591303.0,2024500674.0,13501952500.0,69.37947882736157,36211.284362835395,0.9381107491856677
4,3002135.25,392475924.75,1667543862.25,138.74763790491767,32552.11590773707,2.8876083191265742
5,2957296.9,560641442.5,313475129.5,63.45541785082412,11505.508323062046,1.5964451206479615
6,2518911.0,2741882803.0,632273359.0,55.536672694646114,12994.643982632735,0.44296409068506987
7,2595537.0,1367965435.6666667,579030621.0,56.5772607188344,7172.1209655252,1.2286422530517018
8,2850539.5,1716005660.0,3459768984.0,33.66085280753536,13134.60441186092,1.2150707887627528
