변수,F-statistic,p-value,Eta-squared,유의성
월_평균_소득_금액,0.9315036283642734,0.4984718251785021,0.1212657929268766,ns
지출_총금액,21.62697134099897,2.693548039559339e-14,0.762131063287659,***
당월_매출_금액,25.56196711209103,8.993835702078546e-16,0.7910990693762443,***
당월_매출_건수,42.22126905141052,1.5329858733459927e-20,0.8621640784331365,***
500m내_버스정류장수,29.242335244973486,5.2752324483288306e-17,0.8124600708996041,***
500m내_평균버스승하차,23.519540974867905,4.980251985090913e-15,0.7770035559639187,***
500m내_지하철역수,16.023034020618688,8.148174074098773e-12,0.7035968069125723,***
500m내_평균지하철승하차,34.74452784532461,1.2351760313027427e-18,0.8373279477920228,***
